model_name,test_size,auc,brier
califorests,0.2,0.8423274042809767,0.1648950413797048
rf_nocal,0.2,0.8538840317556025,0.19651939971846324
rf_cal30,0.2,0.8113254949251331,0.17404120889322244
califorests,0.2,0.7847624860136303,0.18970023216240123
rf_nocal,0.2,0.7777947309531075,0.21098563774417123
rf_cal30,0.2,0.7438205675923101,0.20022652835100563
califorests,0.2,0.8454929152848959,0.16826628112214295
rf_nocal,0.2,0.8538840317556026,0.1952346793893323
rf_cal30,0.2,0.836800321575721,0.17000878843685974
califorests,0.2,0.8236,0.17693316558022842
rf_nocal,0.2,0.8167,0.20220208948486032
rf_cal30,0.2,0.8355999999999999,0.16723070609306956
califorests,0.2,0.8005300530053006,0.1879693564656493
rf_nocal,0.2,0.8078807880788078,0.2039520343411747
rf_cal30,0.2,0.7945294529452945,0.18703465561160573
califorests,0.2,0.8352841136454583,0.17494369037493648
rf_nocal,0.2,0.8495398159263706,0.19771804171557505
rf_cal30,0.2,0.8394357743097239,0.1625981820198531
califorests,0.2,0.835984393757503,0.17024619986886044
rf_nocal,0.2,0.8694477791116446,0.19328009656511497
rf_cal30,0.2,0.8038715486194478,0.17929230779390767
califorests,0.2,0.8414365746298519,0.16808234934805824
rf_nocal,0.2,0.8046218487394958,0.20818716549828956
rf_cal30,0.2,0.8153761504601841,0.17557238834342848
califorests,0.2,0.791077694235589,0.18657938763175788
rf_nocal,0.2,0.7982456140350878,0.20561705749077525
rf_cal30,0.2,0.7908771929824562,0.18929002458106262
califorests,0.2,0.8140756302521008,0.1798783292176575
rf_nocal,0.2,0.8349339735894359,0.19714054679735438
rf_cal30,0.2,0.7845638255302121,0.19116365467239088
califorests,0.3,0.850104821802935,0.1660088006888418
rf_nocal,0.3,0.8565948525804006,0.19671462961370967
rf_cal30,0.3,0.8288059235469913,0.17407737379940033
califorests,0.3,0.7727901785714286,0.1935610460842255
rf_nocal,0.3,0.7936830357142857,0.20309263739017627
rf_cal30,0.3,0.7850446428571429,0.19620264286624442
califorests,0.3,0.7667824074074074,0.19776673351828625
rf_nocal,0.3,0.7668491809116809,0.20685898961547428
rf_cal30,0.3,0.7900418447293447,0.18751682698440114
califorests,0.3,0.762053015477673,0.1949617665586006
rf_nocal,0.3,0.7994573919231454,0.20438306644021667
rf_cal30,0.3,0.770436755025796,0.19734440783099216
califorests,0.3,0.8138222222222222,0.17873077308007657
rf_nocal,0.3,0.8392000000000001,0.1978142798639419
rf_cal30,0.3,0.8225111111111111,0.17051157455060972
califorests,0.3,0.8357756892788739,0.17065370941369792
rf_nocal,0.3,0.8284486214422521,0.1991442567284748
rf_cal30,0.3,0.7982940626252728,0.18790869414897093
califorests,0.3,0.816466972517928,0.17550135422153787
rf_nocal,0.3,0.8277582290321144,0.19918603656831238
rf_cal30,0.3,0.7976036702151351,0.18330366184368233
califorests,0.3,0.827620788019255,0.16886217445500232
rf_nocal,0.3,0.83403904439294,0.19804622671460956
rf_cal30,0.3,0.8296933499732573,0.174303084687589
califorests,0.3,0.840734149054505,0.1682683638683608
rf_nocal,0.3,0.8322135706340379,0.19639063439788232
rf_cal30,0.3,0.7661846496106786,0.2003799932507785
califorests,0.3,0.7799013289479533,0.19171057558226903
rf_nocal,0.3,0.8082803680163564,0.2022887686471886
rf_cal30,0.3,0.7556335837148318,0.20156052464729537
califorests,0.4,0.769819245481137,0.1943514572652881
rf_nocal,0.4,0.7667441686042151,0.20875524040005658
rf_cal30,0.4,0.7602815070376759,0.19257621190814603
califorests,0.4,0.7556989734299517,0.19826154834064677
rf_nocal,0.4,0.7417597624798712,0.21313624355941752
rf_cal30,0.4,0.7421497584541064,0.21586143078232517
califorests,0.4,0.765664097687919,0.19895439739107665
rf_nocal,0.4,0.7759858872985687,0.20489190758964815
rf_cal30,0.4,0.804411470323291,0.18378287073686345
califorests,0.4,0.8050380608974359,0.18339512556606385
rf_nocal,0.4,0.8288511618589743,0.19739903820129215
rf_cal30,0.4,0.8042492988782052,0.1864798417210087
califorests,0.4,0.8095629313177786,0.17826631534552917
rf_nocal,0.4,0.8156930154958417,0.2042691610913105
rf_cal30,0.4,0.8143785232184838,0.1804365593167253
califorests,0.4,0.7899186991869919,0.18802076283709013
rf_nocal,0.4,0.8245528455284552,0.19969053546649257
rf_cal30,0.4,0.8087179487179487,0.18487890946279129
califorests,0.4,0.8343837535014006,0.17175638434231685
rf_nocal,0.4,0.8668217286914766,0.19650420582916225
rf_cal30,0.4,0.820953381352541,0.17439732409317898
califorests,0.4,0.7857893157262905,0.19088300088183843
rf_nocal,0.4,0.7985694277711084,0.20192734486127656
rf_cal30,0.4,0.8125500200080031,0.1768184559719326
califorests,0.4,0.8127125000000001,0.17929712993913158
rf_nocal,0.4,0.8209375,0.19955207534705352
rf_cal30,0.4,0.8036375,0.17568155718970802
califorests,0.4,0.8266791744840525,0.17292650847415367
rf_nocal,0.4,0.8258286429018136,0.19580312187007745
rf_cal30,0.4,0.796260162601626,0.18288526951543096
