dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
hastie,CF-Iso,0,0.9810938889877244,0.05526485418716448,0.7787832735792206,0.4003742091671709,0.5791682895522903,7.683056154030436e-05,5.650036398328852e-07
hastie,CF-Logit,0,0.9811314712684576,0.05488093627050668,0.7803200380561466,0.4853896936598696,0.9915212852769117,0.00031322017570565387,2.8372786887041827e-07
hastie,RC-Iso,0,0.9806413449564133,0.054547038415686776,0.7816565799051854,0.0,0.037356406947142776,0.00018199459099333917,2.7316707082790096e-05
hastie,RC-Logit,0,0.977655221490838,0.06115247196881262,0.7552160435334845,0.015347518224014034,0.5744599662253026,0.0009712443853535071,7.645444330145645e-08
hastie,RF-NoCal,0,0.9788454011741683,0.11069319435868696,0.5569121378632882,0.0,2.408073958448382e-146,0.05117840827000231,6.337548228685494e-05
hastie,CF-Iso,1,0.9832041596432965,0.051469468603323416,0.7940341552859196,0.0,0.16732850301275548,7.724964489819499e-05,2.4438479009896237e-06
hastie,CF-Logit,1,0.9837610641700744,0.05026858850227926,0.7988397282036845,0.05708092163728451,0.7878260122190243,0.0002947203523267252,1.8311274941335217e-05
hastie,RC-Iso,1,0.979780030493024,0.058198340295985855,0.7671071676996829,0.0011405096391894354,1.3382914849263298e-06,0.0005581722989796308,1.6344834031937834e-05
hastie,RC-Logit,1,0.980317815742635,0.05681895261607188,0.7726270760335205,0.4611675541967628,0.09516783771589929,0.00014917609723046204,3.476452201300422e-05
hastie,RF-NoCal,1,0.9838962330133005,0.10991181531500933,0.5601648802732704,0.0,3.647294157928451e-151,0.05695958669886059,6.325566679594728e-05
hastie,CF-Iso,2,0.9842848609508639,0.04913275525346476,0.803468629597038,0.9951730397584189,0.8583823202436107,6.747397264585386e-05,1.0385635607011108e-05
hastie,CF-Logit,2,0.982791524962711,0.051285771517418824,0.7948565492308567,0.1910057781566059,0.5704393472356022,0.0002644647103954723,0.00010224232676948895
hastie,RC-Iso,2,0.9801039646292705,0.05505446271225015,0.7797817576519018,0.0,0.02434725587234783,0.0002499556526156329,1.0695420912296086e-05
hastie,RC-Logit,2,0.9797888529579608,0.05699481921332621,0.7720203178494824,0.6510284563396118,0.9267353226566134,8.269235443085718e-05,5.638367949960048e-08
hastie,RF-NoCal,2,0.9831750812001444,0.11071415411040952,0.5571425962563108,0.0,1.876906618087743e-151,0.05758504304575631,0.00012926939989824302
hastie,CF-Iso,3,0.9806299172689505,0.056416606442847655,0.7742549146077438,0.9652149141212972,0.7640663001329019,6.145480313015762e-05,2.8354031868504002e-08
